dia_da_semana,media_passos,media_calorias
0,6143.338028169014,2198.1267605633802
5,6737.561643835616,2313.5479452054797
6,7185.581081081081,2308.364864864865
1,7118.588235294118,2252.8676470588234
3,7510.708333333333,2377.4583333333335
4,6847.083333333333,2297.8125
2,5125.557142857143,1817.1
